agri_year,month_start,calendar_year,month,district_id,district,price_type,commodity,price_rs_per_quintal,unit,data_origin,annual_level_basis,annual_level_rs_per_quintal,generator_version,generator_seed
2019-20,2020-03-01,2020,3,OD01,Angul,Farm Harvest,Biri,5674.08,Rs/quintal,synthetic,projected,5788.68,synthetic-prices-v1,20260917
2019-20,2020-04-01,2020,4,OD01,Angul,Farm Harvest,Biri,5822.33,Rs/quintal,synthetic,projected,5788.68,synthetic-prices-v1,20260917
2020-21,2021-02-01,2021,2,OD01,Angul,Farm Harvest,Biri,6039.8,Rs/quintal,synthetic,projected,6096.94,synthetic-prices-v1,20260917
2020-21,2021-03-01,2021,3,OD01,Angul,Farm Harvest,Biri,6194.94,Rs/quintal,synthetic,projected,6096.94,synthetic-prices-v1,20260917
2020-21,2021-04-01,2021,4,OD01,Angul,Farm Harvest,Biri,6056.09,Rs/quintal,synthetic,projected,6096.94,synthetic-prices-v1,20260917
2021-22,2022-02-01,2022,2,OD01,Angul,Farm Harvest,Biri,6510.56,Rs/quintal,synthetic,projected,6421.62,synthetic-prices-v1,20260917
2021-22,2022-03-01,2022,3,OD01,Angul,Farm Harvest,Biri,6466.48,Rs/quintal,synthetic,projected,6421.62,synthetic-prices-v1,20260917
2021-22,2022-04-01,2022,4,OD01,Angul,Farm Harvest,Biri,6287.82,Rs/quintal,synthetic,projected,6421.62,synthetic-prices-v1,20260917
2022-23,2023-02-01,2023,2,OD01,Angul,Farm Harvest,Biri,6822.8,Rs/quintal,synthetic,projected,6763.59,synthetic-prices-v1,20260917
2022-23,2023-03-01,2023,3,OD01,Angul,Farm Harvest,Biri,6818.65,Rs/quintal,synthetic,projected,6763.59,synthetic-prices-v1,20260917
2022-23,2023-04-01,2023,4,OD01,Angul,Farm Harvest,Biri,6649.32,Rs/quintal,synthetic,projected,6763.59,synthetic-prices-v1,20260917
2023-24,2024-02-01,2024,2,OD01,Angul,Farm Harvest,Biri,7037.93,Rs/quintal,synthetic,projected,7123.77,synthetic-prices-v1,20260917
2023-24,2024-03-01,2024,3,OD01,Angul,Farm Harvest,Biri,7067.98,Rs/quintal,synthetic,projected,7123.77,synthetic-prices-v1,20260917
2023-24,2024-04-01,2024,4,OD01,Angul,Farm Harvest,Biri,7265.41,Rs/quintal,synthetic,projected,7123.77,synthetic-prices-v1,20260917
2024-25,2025-02-01,2025,2,OD01,Angul,Farm Harvest,Biri,7468.09,Rs/quintal,synthetic,projected,7503.13,synthetic-prices-v1,20260917
2024-25,2025-03-01,2025,3,OD01,Angul,Farm Harvest,Biri,7518.17,Rs/quintal,synthetic,projected,7503.13,synthetic-prices-v1,20260917
2024-25,2025-04-01,2025,4,OD01,Angul,Farm Harvest,Biri,7523.14,Rs/quintal,synthetic,projected,7503.13,synthetic-prices-v1,20260917
2013-14,2014-02-01,2014,2,OD02,Balangir,Farm Harvest,Biri,4167.43,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2013-14,2014-03-01,2014,3,OD02,Balangir,Farm Harvest,Biri,4351.36,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2013-14,2014-04-01,2014,4,OD02,Balangir,Farm Harvest,Biri,4363.21,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2014-15,2015-02-01,2015,2,OD02,Balangir,Farm Harvest,Biri,4582.39,Rs/quintal,synthetic,published,4587.0,synthetic-prices-v1,20260917
2014-15,2015-03-01,2015,3,OD02,Balangir,Farm Harvest,Biri,4611.14,Rs/quintal,synthetic,published,4587.0,synthetic-prices-v1,20260917
2014-15,2015-04-01,2015,4,OD02,Balangir,Farm Harvest,Biri,4567.47,Rs/quintal,synthetic,published,4587.0,synthetic-prices-v1,20260917
2015-16,2016-02-01,2016,2,OD02,Balangir,Farm Harvest,Biri,4975.6,Rs/quintal,synthetic,published,5076.0,synthetic-prices-v1,20260917
2015-16,2016-03-01,2016,3,OD02,Balangir,Farm Harvest,Biri,5107.05,Rs/quintal,synthetic,published,5076.0,synthetic-prices-v1,20260917
2015-16,2016-04-01,2016,4,OD02,Balangir,Farm Harvest,Biri,5145.35,Rs/quintal,synthetic,published,5076.0,synthetic-prices-v1,20260917
2016-17,2017-02-01,2017,2,OD02,Balangir,Farm Harvest,Biri,5702.91,Rs/quintal,synthetic,published,5600.0,synthetic-prices-v1,20260917
2016-17,2017-03-01,2017,3,OD02,Balangir,Farm Harvest,Biri,5620.28,Rs/quintal,synthetic,published,5600.0,synthetic-prices-v1,20260917
2016-17,2017-04-01,2017,4,OD02,Balangir,Farm Harvest,Biri,5476.81,Rs/quintal,synthetic,published,5600.0,synthetic-prices-v1,20260917
2017-18,2018-02-01,2018,2,OD02,Balangir,Farm Harvest,Biri,6013.73,Rs/quintal,synthetic,published,6128.0,synthetic-prices-v1,20260917
2017-18,2018-03-01,2018,3,OD02,Balangir,Farm Harvest,Biri,6100.01,Rs/quintal,synthetic,published,6128.0,synthetic-prices-v1,20260917
2017-18,2018-04-01,2018,4,OD02,Balangir,Farm Harvest,Biri,6270.26,Rs/quintal,synthetic,published,6128.0,synthetic-prices-v1,20260917
2018-19,2019-02-01,2019,2,OD02,Balangir,Farm Harvest,Biri,6485.35,Rs/quintal,synthetic,published,6400.0,synthetic-prices-v1,20260917
2018-19,2019-03-01,2019,3,OD02,Balangir,Farm Harvest,Biri,6308.25,Rs/quintal,synthetic,published,6400.0,synthetic-prices-v1,20260917
2018-19,2019-04-01,2019,4,OD02,Balangir,Farm Harvest,Biri,6406.4,Rs/quintal,synthetic,published,6400.0,synthetic-prices-v1,20260917
2019-20,2020-02-01,2020,2,OD02,Balangir,Farm Harvest,Biri,6618.08,Rs/quintal,synthetic,projected,6740.82,synthetic-prices-v1,20260917
2019-20,2020-03-01,2020,3,OD02,Balangir,Farm Harvest,Biri,6759.09,Rs/quintal,synthetic,projected,6740.82,synthetic-prices-v1,20260917
2019-20,2020-04-01,2020,4,OD02,Balangir,Farm Harvest,Biri,6845.28,Rs/quintal,synthetic,projected,6740.82,synthetic-prices-v1,20260917
2020-21,2021-02-01,2021,2,OD02,Balangir,Farm Harvest,Biri,7241.23,Rs/quintal,synthetic,projected,7099.79,synthetic-prices-v1,20260917
2020-21,2021-03-01,2021,3,OD02,Balangir,Farm Harvest,Biri,7041.89,Rs/quintal,synthetic,projected,7099.79,synthetic-prices-v1,20260917
2020-21,2021-04-01,2021,4,OD02,Balangir,Farm Harvest,Biri,7016.24,Rs/quintal,synthetic,projected,7099.79,synthetic-prices-v1,20260917
2021-22,2022-02-01,2022,2,OD02,Balangir,Farm Harvest,Biri,7396.15,Rs/quintal,synthetic,projected,7477.87,synthetic-prices-v1,20260917
2021-22,2022-03-01,2022,3,OD02,Balangir,Farm Harvest,Biri,7503.46,Rs/quintal,synthetic,projected,7477.87,synthetic-prices-v1,20260917
2021-22,2022-04-01,2022,4,OD02,Balangir,Farm Harvest,Biri,7534.0,Rs/quintal,synthetic,projected,7477.87,synthetic-prices-v1,20260917
2022-23,2023-02-01,2023,2,OD02,Balangir,Farm Harvest,Biri,7931.25,Rs/quintal,synthetic,projected,7876.09,synthetic-prices-v1,20260917
2022-23,2023-03-01,2023,3,OD02,Balangir,Farm Harvest,Biri,7858.32,Rs/quintal,synthetic,projected,7876.09,synthetic-prices-v1,20260917
2022-23,2023-04-01,2023,4,OD02,Balangir,Farm Harvest,Biri,7838.7,Rs/quintal,synthetic,projected,7876.09,synthetic-prices-v1,20260917
2023-24,2024-02-01,2024,2,OD02,Balangir,Farm Harvest,Biri,8264.61,Rs/quintal,synthetic,projected,8295.51,synthetic-prices-v1,20260917
2023-24,2024-03-01,2024,3,OD02,Balangir,Farm Harvest,Biri,8263.52,Rs/quintal,synthetic,projected,8295.51,synthetic-prices-v1,20260917
2023-24,2024-04-01,2024,4,OD02,Balangir,Farm Harvest,Biri,8358.41,Rs/quintal,synthetic,projected,8295.51,synthetic-prices-v1,20260917
2024-25,2025-02-01,2025,2,OD02,Balangir,Farm Harvest,Biri,8730.57,Rs/quintal,synthetic,projected,8737.27,synthetic-prices-v1,20260917
2024-25,2025-03-01,2025,3,OD02,Balangir,Farm Harvest,Biri,8783.47,Rs/quintal,synthetic,projected,8737.27,synthetic-prices-v1,20260917
2024-25,2025-04-01,2025,4,OD02,Balangir,Farm Harvest,Biri,8697.77,Rs/quintal,synthetic,projected,8737.27,synthetic-prices-v1,20260917
2013-14,2014-02-01,2014,2,OD03,Balasore,Farm Harvest,Biri,4251.75,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2013-14,2014-03-01,2014,3,OD03,Balasore,Farm Harvest,Biri,4349.23,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2013-14,2014-04-01,2014,4,OD03,Balasore,Farm Harvest,Biri,4281.01,Rs/quintal,synthetic,published,4294.0,synthetic-prices-v1,20260917
2014-15,2015-02-01,2015,2,OD03,Balasore,Farm Harvest,Biri,4739.91,Rs/quintal,synthetic,published,4765.0,synthetic-prices-v1,20260917
2014-15,2015-03-01,2015,3,OD03,Balasore,Farm Harvest,Biri,4756.99,Rs/quintal,synthetic,published,4765.0,synthetic-prices-v1,20260917
2014-15,2015-04-01,2015,4,OD03,Balasore,Farm Harvest,Biri,4798.09,Rs/quintal,synthetic,published,4765.0,synthetic-prices-v1,20260917
2015-16,2016-02-01,2016,2,OD03,Balasore,Farm Harvest,Biri,5434.08,Rs/quintal,synthetic,published,5350.0,synthetic-prices-v1,20260917
2015-16,2016-03-01,2016,3,OD03,Balasore,Farm Harvest,Biri,5308.97,Rs/quintal,synthetic,published,5350.0,synthetic-prices-v1,20260917
2015-16,2016-04-01,2016,4,OD03,Balasore,Farm Harvest,Biri,5306.95,Rs/quintal,synthetic,published,5350.0,synthetic-prices-v1,20260917
2016-17,2017-02-01,2017,2,OD03,Balasore,Farm Harvest,Biri,5906.03,Rs/quintal,synthetic,published,5875.0,synthetic-prices-v1,20260917
2016-17,2017-03-01,2017,3,OD03,Balasore,Farm Harvest,Biri,5852.82,Rs/quintal,synthetic,published,5875.0,synthetic-prices-v1,20260917
2016-17,2017-04-01,2017,4,OD03,Balasore,Farm Harvest,Biri,5866.15,Rs/quintal,synthetic,published,5875.0,synthetic-prices-v1,20260917
2017-18,2018-02-01,2018,2,OD03,Balasore,Farm Harvest,Biri,7059.25,Rs/quintal,synthetic,published,7042.0,synthetic-prices-v1,20260917
2017-18,2018-03-01,2018,3,OD03,Balasore,Farm Harvest,Biri,6973.49,Rs/quintal,synthetic,published,7042.0,synthetic-prices-v1,20260917
2017-18,2018-04-01,2018,4,OD03,Balasore,Farm Harvest,Biri,7093.26,Rs/quintal,synthetic,published,7042.0,synthetic-prices-v1,20260917
2018-19,2019-02-01,2019,2,OD03,Balasore,Farm Harvest,Biri,5381.54,Rs/quintal,synthetic,published,5192.0,synthetic-prices-v1,20260917
2018-19,2019-03-01,2019,3,OD03,Balasore,Farm Harvest,Biri,5137.91,Rs/quintal,synthetic,published,5192.0,synthetic-prices-v1,20260917
2018-19,2019-04-01,2019,4,OD03,Balasore,Farm Harvest,Biri,5056.54,Rs/quintal,synthetic,published,5192.0,synthetic-prices-v1,20260917
2019-20,2020-02-01,2020,2,OD03,Balasore,Farm Harvest,Biri,5402.86,Rs/quintal,synthetic,projected,5468.49,synthetic-prices-v1,20260917
2019-20,2020-03-01,2020,3,OD03,Balasore,Farm Harvest,Biri,5402.6,Rs/quintal,synthetic,projected,5468.49,synthetic-prices-v1,20260917
2019-20,2020-04-01,2020,4,OD03,Balasore,Farm Harvest,Biri,5600.01,Rs/quintal,synthetic,projected,5468.49,synthetic-prices-v1,20260917
2020-21,2021-02-01,2021,2,OD03,Balasore,Farm Harvest,Biri,5800.58,Rs/quintal,synthetic,projected,5759.7,synthetic-prices-v1,20260917
2020-21,2021-03-01,2021,3,OD03,Balasore,Farm Harvest,Biri,5652.88,Rs/quintal,synthetic,projected,5759.7,synthetic-prices-v1,20260917
2020-21,2021-04-01,2021,4,OD03,Balasore,Farm Harvest,Biri,5825.64,Rs/quintal,synthetic,projected,5759.7,synthetic-prices-v1,20260917
2021-22,2022-02-01,2022,2,OD03,Balasore,Farm Harvest,Biri,6193.16,Rs/quintal,synthetic,projected,6066.42,synthetic-prices-v1,20260917
2021-22,2022-03-01,2022,3,OD03,Balasore,Farm Harvest,Biri,6041.68,Rs/quintal,synthetic,projected,6066.42,synthetic-prices-v1,20260917
2021-22,2022-04-01,2022,4,OD03,Balasore,Farm Harvest,Biri,5964.43,Rs/quintal,synthetic,projected,6066.42,synthetic-prices-v1,20260917
2022-23,2023-02-01,2023,2,OD03,Balasore,Farm Harvest,Biri,6544.16,Rs/quintal,synthetic,projected,6389.48,synthetic-prices-v1,20260917
2022-23,2023-03-01,2023,3,OD03,Balasore,Farm Harvest,Biri,6338.67,Rs/quintal,synthetic,projected,6389.48,synthetic-prices-v1,20260917
2022-23,2023-04-01,2023,4,OD03,Balasore,Farm Harvest,Biri,6285.6,Rs/quintal,synthetic,projected,6389.48,synthetic-prices-v1,20260917
2023-24,2024-02-01,2024,2,OD03,Balasore,Farm Harvest,Biri,6650.64,Rs/quintal,synthetic,projected,6729.73,synthetic-prices-v1,20260917
2023-24,2024-03-01,2024,3,OD03,Balasore,Farm Harvest,Biri,6694.88,Rs/quintal,synthetic,projected,6729.73,synthetic-prices-v1,20260917
2023-24,2024-04-01,2024,4,OD03,Balasore,Farm Harvest,Biri,6843.68,Rs/quintal,synthetic,projected,6729.73,synthetic-prices-v1,20260917
2024-25,2025-02-01,2025,2,OD03,Balasore,Farm Harvest,Biri,7011.74,Rs/quintal,synthetic,projected,7088.11,synthetic-prices-v1,20260917
2024-25,2025-03-01,2025,3,OD03,Balasore,Farm Harvest,Biri,7057.49,Rs/quintal,synthetic,projected,7088.11,synthetic-prices-v1,20260917
2024-25,2025-04-01,2025,4,OD03,Balasore,Farm Harvest,Biri,7195.1,Rs/quintal,synthetic,projected,7088.11,synthetic-prices-v1,20260917
2013-14,2014-02-01,2014,2,OD04,Bargarh,Farm Harvest,Biri,4158.28,Rs/quintal,synthetic,published,4183.0,synthetic-prices-v1,20260917
2013-14,2014-03-01,2014,3,OD04,Bargarh,Farm Harvest,Biri,4187.73,Rs/quintal,synthetic,published,4183.0,synthetic-prices-v1,20260917
2013-14,2014-04-01,2014,4,OD04,Bargarh,Farm Harvest,Biri,4203.0,Rs/quintal,synthetic,published,4183.0,synthetic-prices-v1,20260917
2014-15,2015-02-01,2015,2,OD04,Bargarh,Farm Harvest,Biri,4775.48,Rs/quintal,synthetic,published,4721.0,synthetic-prices-v1,20260917
2014-15,2015-03-01,2015,3,OD04,Bargarh,Farm Harvest,Biri,4639.75,Rs/quintal,synthetic,published,4721.0,synthetic-prices-v1,20260917
2014-15,2015-04-01,2015,4,OD04,Bargarh,Farm Harvest,Biri,4747.77,Rs/quintal,synthetic,published,4721.0,synthetic-prices-v1,20260917
2015-16,2016-02-01,2016,2,OD04,Bargarh,Farm Harvest,Biri,5364.77,Rs/quintal,synthetic,published,5340.0,synthetic-prices-v1,20260917
2015-16,2016-03-01,2016,3,OD04,Bargarh,Farm Harvest,Biri,5303.23,Rs/quintal,synthetic,published,5340.0,synthetic-prices-v1,20260917
2015-16,2016-04-01,2016,4,OD04,Bargarh,Farm Harvest,Biri,5352.0,Rs/quintal,synthetic,published,5340.0,synthetic-prices-v1,20260917
2016-17,2017-02-01,2017,2,OD04,Bargarh,Farm Harvest,Biri,5831.12,Rs/quintal,synthetic,published,5856.0,synthetic-prices-v1,20260917
2016-17,2017-03-01,2017,3,OD04,Bargarh,Farm Harvest,Biri,5842.59,Rs/quintal,synthetic,published,5856.0,synthetic-prices-v1,20260917
2016-17,2017-04-01,2017,4,OD04,Bargarh,Farm Harvest,Biri,5894.29,Rs/quintal,synthetic,published,5856.0,synthetic-prices-v1,20260917
2017-18,2018-02-01,2018,2,OD04,Bargarh,Farm Harvest,Biri,5206.83,Rs/quintal,synthetic,published,5189.0,synthetic-prices-v1,20260917
2017-18,2018-03-01,2018,3,OD04,Bargarh,Farm Harvest,Biri,5190.75,Rs/quintal,synthetic,published,5189.0,synthetic-prices-v1,20260917
2017-18,2018-04-01,2018,4,OD04,Bargarh,Farm Harvest,Biri,5169.42,Rs/quintal,synthetic,published,5189.0,synthetic-prices-v1,20260917
2018-19,2019-02-01,2019,2,OD04,Bargarh,Farm Harvest,Biri,5401.7,Rs/quintal,synthetic,published,5458.0,synthetic-prices-v1,20260917
2018-19,2019-03-01,2019,3,OD04,Bargarh,Farm Harvest,Biri,5565.64,Rs/quintal,synthetic,published,5458.0,synthetic-prices-v1,20260917
2018-19,2019-04-01,2019,4,OD04,Bargarh,Farm Harvest,Biri,5406.66,Rs/quintal,synthetic,published,5458.0,synthetic-prices-v1,20260917
2019-20,2020-02-01,2020,2,OD04,Bargarh,Farm Harvest,Biri,5808.38,Rs/quintal,synthetic,projected,5748.65,synthetic-prices-v1,20260917
2019-20,2020-03-01,2020,3,OD04,Bargarh,Farm Harvest,Biri,5702.81,Rs/quintal,synthetic,projected,5748.65,synthetic-prices-v1,20260917
2019-20,2020-04-01,2020,4,OD04,Bargarh,Farm Harvest,Biri,5734.77,Rs/quintal,synthetic,projected,5748.65,synthetic-prices-v1,20260917
2020-21,2021-02-01,2021,2,OD04,Bargarh,Farm Harvest,Biri,6088.91,Rs/quintal,synthetic,projected,6054.79,synthetic-prices-v1,20260917
2020-21,2021-03-01,2021,3,OD04,Bargarh,Farm Harvest,Biri,6009.06,Rs/quintal,synthetic,projected,6054.79,synthetic-prices-v1,20260917
2020-21,2021-04-01,2021,4,OD04,Bargarh,Farm Harvest,Biri,6066.39,Rs/quintal,synthetic,projected,6054.79,synthetic-prices-v1,20260917
2021-22,2022-02-01,2022,2,OD04,Bargarh,Farm Harvest,Biri,6482.44,Rs/quintal,synthetic,projected,6377.22,synthetic-prices-v1,20260917
2021-22,2022-03-01,2022,3,OD04,Bargarh,Farm Harvest,Biri,6322.0,Rs/quintal,synthetic,projected,6377.22,synthetic-prices-v1,20260917
2021-22,2022-04-01,2022,4,OD04,Bargarh,Farm Harvest,Biri,6327.22,Rs/quintal,synthetic,projected,6377.22,synthetic-prices-v1,20260917
2022-23,2023-02-01,2023,2,OD04,Bargarh,Farm Harvest,Biri,6686.4,Rs/quintal,synthetic,projected,6716.83,synthetic-prices-v1,20260917
2022-23,2023-03-01,2023,3,OD04,Bargarh,Farm Harvest,Biri,6823.75,Rs/quintal,synthetic,projected,6716.83,synthetic-prices-v1,20260917
2022-23,2023-04-01,2023,4,OD04,Bargarh,Farm Harvest,Biri,6640.33,Rs/quintal,synthetic,projected,6716.83,synthetic-prices-v1,20260917
2023-24,2024-02-01,2024,2,OD04,Bargarh,Farm Harvest,Biri,7051.39,Rs/quintal,synthetic,projected,7074.52,synthetic-prices-v1,20260917
2023-24,2024-03-01,2024,3,OD04,Bargarh,Farm Harvest,Biri,7056.27,Rs/quintal,synthetic,projected,7074.52,synthetic-prices-v1,20260917
2023-24,2024-04-01,2024,4,OD04,Bargarh,Farm Harvest,Biri,7115.89,Rs/quintal,synthetic,projected,7074.52,synthetic-prices-v1,20260917
2024-25,2025-02-01,2025,2,OD04,Bargarh,Farm Harvest,Biri,7612.34,Rs/quintal,synthetic,projected,7451.25,synthetic-prices-v1,20260917
2024-25,2025-03-01,2025,3,OD04,Bargarh,Farm Harvest,Biri,7371.28,Rs/quintal,synthetic,projected,7451.25,synthetic-prices-v1,20260917
2024-25,2025-04-01,2025,4,OD04,Bargarh,Farm Harvest,Biri,7370.15,Rs/quintal,synthetic,projected,7451.25,synthetic-prices-v1,20260917
2013-14,2014-02-01,2014,2,OD05,Bhadrak,Farm Harvest,Biri,4189.74,Rs/quintal,synthetic,published,4163.0,synthetic-prices-v1,20260917
2013-14,2014-03-01,2014,3,OD05,Bhadrak,Farm Harvest,Biri,4127.15,Rs/quintal,synthetic,published,4163.0,synthetic-prices-v1,20260917
2013-14,2014-04-01,2014,4,OD05,Bhadrak,Farm Harvest,Biri,4172.11,Rs/quintal,synthetic,published,4163.0,synthetic-prices-v1,20260917
2014-15,2015-02-01,2015,2,OD05,Bhadrak,Farm Harvest,Biri,4717.25,Rs/quintal,synthetic,published,4659.0,synthetic-prices-v1,20260917
2014-15,2015-03-01,2015,3,OD05,Bhadrak,Farm Harvest,Biri,4608.59,Rs/quintal,synthetic,published,4659.0,synthetic-prices-v1,20260917
2014-15,2015-04-01,2015,4,OD05,Bhadrak,Farm Harvest,Biri,4651.16,Rs/quintal,synthetic,published,4659.0,synthetic-prices-v1,20260917
2015-16,2016-02-01,2016,2,OD05,Bhadrak,Farm Harvest,Biri,5291.79,Rs/quintal,synthetic,published,5260.0,synthetic-prices-v1,20260917
2015-16,2016-03-01,2016,3,OD05,Bhadrak,Farm Harvest,Biri,5240.47,Rs/quintal,synthetic,published,5260.0,synthetic-prices-v1,20260917
2015-16,2016-04-01,2016,4,OD05,Bhadrak,Farm Harvest,Biri,5247.74,Rs/quintal,synthetic,published,5260.0,synthetic-prices-v1,20260917
2016-17,2017-02-01,2017,2,OD05,Bhadrak,Farm Harvest,Biri,5505.43,Rs/quintal,synthetic,published,5500.0,synthetic-prices-v1,20260917
2016-17,2017-03-01,2017,3,OD05,Bhadrak,Farm Harvest,Biri,5533.38,Rs/quintal,synthetic,published,5500.0,synthetic-prices-v1,20260917
2016-17,2017-04-01,2017,4,OD05,Bhadrak,Farm Harvest,Biri,5461.19,Rs/quintal,synthetic,published,5500.0,synthetic-prices-v1,20260917
2017-18,2018-02-01,2018,2,OD05,Bhadrak,Farm Harvest,Biri,5631.18,Rs/quintal,synthetic,published,5639.0,synthetic-prices-v1,20260917
2017-18,2018-03-01,2018,3,OD05,Bhadrak,Farm Harvest,Biri,5596.53,Rs/quintal,synthetic,published,5639.0,synthetic-prices-v1,20260917
2017-18,2018-04-01,2018,4,OD05,Bhadrak,Farm Harvest,Biri,5689.29,Rs/quintal,synthetic,published,5639.0,synthetic-prices-v1,20260917
2018-19,2019-02-01,2019,2,OD05,Bhadrak,Farm Harvest,Biri,5950.63,Rs/quintal,synthetic,published,5985.0,synthetic-prices-v1,20260917
2018-19,2019-03-01,2019,3,OD05,Bhadrak,Farm Harvest,Biri,5900.19,Rs/quintal,synthetic,published,5985.0,synthetic-prices-v1,20260917
2018-19,2019-04-01,2019,4,OD05,Bhadrak,Farm Harvest,Biri,6104.18,Rs/quintal,synthetic,published,5985.0,synthetic-prices-v1,20260917
2019-20,2020-02-01,2020,2,OD05,Bhadrak,Farm Harvest,Biri,6271.84,Rs/quintal,synthetic,projected,6303.72,synthetic-prices-v1,20260917
2019-20,2020-03-01,2020,3,OD05,Bhadrak,Farm Harvest,Biri,6321.7,Rs/quintal,synthetic,projected,6303.72,synthetic-prices-v1,20260917
2019-20,2020-04-01,2020,4,OD05,Bhadrak,Farm Harvest,Biri,6317.61,Rs/quintal,synthetic,projected,6303.72,synthetic-prices-v1,20260917
2020-21,2021-02-01,2021,2,OD05,Bhadrak,Farm Harvest,Biri,6630.68,Rs/quintal,synthetic,projected,6639.41,synthetic-prices-v1,20260917
2020-21,2021-03-01,2021,3,OD05,Bhadrak,Farm Harvest,Biri,6700.1,Rs/quintal,synthetic,projected,6639.41,synthetic-prices-v1,20260917
2020-21,2021-04-01,2021,4,OD05,Bhadrak,Farm Harvest,Biri,6587.45,Rs/quintal,synthetic,projected,6639.41,synthetic-prices-v1,20260917
2021-22,2022-02-01,2022,2,OD05,Bhadrak,Farm Harvest,Biri,6880.99,Rs/quintal,synthetic,projected,6992.98,synthetic-prices-v1,20260917
2021-22,2022-03-01,2022,3,OD05,Bhadrak,Farm Harvest,Biri,6938.17,Rs/quintal,synthetic,projected,6992.98,synthetic-prices-v1,20260917
2021-22,2022-04-01,2022,4,OD05,Bhadrak,Farm Harvest,Biri,7159.77,Rs/quintal,synthetic,projected,6992.98,synthetic-prices-v1,20260917
2022-23,2023-02-01,2023,2,OD05,Bhadrak,Farm Harvest,Biri,7516.45,Rs/quintal,synthetic,projected,7365.37,synthetic-prices-v1,20260917
2022-23,2023-03-01,2023,3,OD05,Bhadrak,Farm Harvest,Biri,7352.36,Rs/quintal,synthetic,projected,7365.37,synthetic-prices-v1,20260917
2022-23,2023-04-01,2023,4,OD05,Bhadrak,Farm Harvest,Biri,7227.31,Rs/quintal,synthetic,projected,7365.37,synthetic-prices-v1,20260917
2023-24,2024-02-01,2024,2,OD05,Bhadrak,Farm Harvest,Biri,7701.58,Rs/quintal,synthetic,projected,7757.6,synthetic-prices-v1,20260917
