price_type,commodity,district_id,agri_year,basis,annual_level,months
Farm Harvest,Biri,OD06,2013-14,published,4667.0,3
Farm Harvest,Biri,OD06,2014-15,published,5054.0,3
Farm Harvest,Biri,OD06,2015-16,published,5600.0,3
Farm Harvest,Biri,OD06,2016-17,published,5900.0,3
Farm Harvest,Biri,OD06,2017-18,published,5000.0,3
Farm Harvest,Biri,OD06,2018-19,published,5028.0,3
Farm Harvest,Biri,OD06,2019-20,projected,5295.76,3
Farm Harvest,Biri,OD06,2020-21,projected,5577.77,3
Farm Harvest,Biri,OD06,2021-22,projected,5874.8,3
Farm Harvest,Biri,OD06,2022-23,projected,6187.65,3
Farm Harvest,Biri,OD06,2023-24,projected,6517.16,3
Farm Harvest,Biri,OD06,2024-25,projected,6864.22,3
Farm Harvest,Biri,OD07,2013-14,published,4310.0,3
Farm Harvest,Biri,OD07,2014-15,published,4839.0,3
Farm Harvest,Biri,OD07,2015-16,published,5500.0,3
Farm Harvest,Biri,OD07,2016-17,published,5873.0,3
Farm Harvest,Biri,OD07,2017-18,published,6637.0,3
Farm Harvest,Biri,OD07,2018-19,published,5948.0,3
Farm Harvest,Biri,OD07,2019-20,projected,6264.75,3
Farm Harvest,Biri,OD07,2020-21,projected,6598.36,3
Farm Harvest,Biri,OD07,2021-22,projected,6949.75,3
Farm Harvest,Biri,OD07,2022-23,projected,7319.84,3
Farm Harvest,Biri,OD07,2023-24,projected,7709.64,3
Farm Harvest,Biri,OD07,2024-25,projected,8120.2,3
Farm Harvest,Biri,OD08,2013-14,published,4545.0,3
Farm Harvest,Biri,OD08,2014-15,published,4908.0,3
Farm Harvest,Biri,OD08,2015-16,published,5475.0,3
Farm Harvest,Biri,OD08,2016-17,published,5900.0,3
Farm Harvest,Biri,OD08,2017-18,published,6167.0,3
Farm Harvest,Biri,OD08,2018-19,published,4858.0,3
Farm Harvest,Biri,OD08,2019-20,projected,5116.7,3
Farm Harvest,Biri,OD08,2020-21,projected,5389.18,3
Farm Harvest,Biri,OD08,2021-22,projected,5676.17,3
Farm Harvest,Biri,OD08,2022-23,projected,5978.44,3
Farm Harvest,Biri,OD08,2023-24,projected,6296.81,3
Farm Harvest,Biri,OD08,2024-25,projected,6632.14,3
Farm Harvest,Biri,OD09,2013-14,published,4092.0,3
Farm Harvest,Biri,OD09,2014-15,published,4569.0,3
Farm Harvest,Biri,OD09,2015-16,published,5200.0,3
Farm Harvest,Biri,OD09,2016-17,published,5898.0,3
Farm Harvest,Biri,OD09,2017-18,published,5643.0,3
Farm Harvest,Biri,OD09,2018-19,published,4857.0,3
Farm Harvest,Biri,OD09,2019-20,projected,5115.65,3
Farm Harvest,Biri,OD09,2020-21,projected,5388.07,3
Farm Harvest,Biri,OD09,2021-22,projected,5675.0,3
Farm Harvest,Biri,OD09,2022-23,projected,5977.21,3
Farm Harvest,Biri,OD09,2023-24,projected,6295.52,3
Farm Harvest,Biri,OD09,2024-25,projected,6630.77,3
Farm Harvest,Biri,OD10,2013-14,published,4450.0,3
Farm Harvest,Biri,OD10,2014-15,published,4757.0,3
Farm Harvest,Biri,OD10,2015-16,published,5394.0,3
Farm Harvest,Biri,OD10,2016-17,published,5889.0,3
Farm Harvest,Biri,OD10,2017-18,published,5773.0,3
Farm Harvest,Biri,OD10,2018-19,published,5695.0,3
Farm Harvest,Biri,OD10,2019-20,projected,5998.28,3
Farm Harvest,Biri,OD10,2020-21,projected,6317.7,3
Farm Harvest,Biri,OD10,2021-22,projected,6654.14,3
Farm Harvest,Biri,OD10,2022-23,projected,7008.49,3
Farm Harvest,Biri,OD10,2023-24,projected,7381.71,3
Farm Harvest,Biri,OD10,2024-25,projected,7774.81,3
Farm Harvest,Biri,OD11,2013-14,published,4308.0,3
Farm Harvest,Biri,OD11,2014-15,published,4662.0,3
Farm Harvest,Biri,OD11,2015-16,published,5300.0,3
Farm Harvest,Biri,OD11,2016-17,published,5875.0,3
Farm Harvest,Biri,OD11,2017-18,published,5646.0,3
Farm Harvest,Biri,OD11,2018-19,published,4975.0,3
Farm Harvest,Biri,OD11,2019-20,projected,5239.93,3
Farm Harvest,Biri,OD11,2020-21,projected,5518.97,3
Farm Harvest,Biri,OD11,2021-22,projected,5812.88,3
Farm Harvest,Biri,OD11,2022-23,projected,6122.43,3
Farm Harvest,Biri,OD11,2023-24,projected,6448.46,3
Farm Harvest,Biri,OD11,2024-25,projected,6791.86,3
Farm Harvest,Biri,OD12,2013-14,published,4400.0,3
Farm Harvest,Biri,OD12,2014-15,published,4831.0,3
Farm Harvest,Biri,OD12,2015-16,published,5450.0,3
Farm Harvest,Biri,OD12,2016-17,published,5738.0,3
Farm Harvest,Biri,OD12,2017-18,published,5860.0,3
Farm Harvest,Biri,OD12,2018-19,published,5774.0,3
Farm Harvest,Biri,OD12,2019-20,projected,6081.48,3
Farm Harvest,Biri,OD12,2020-21,projected,6405.34,3
Farm Harvest,Biri,OD12,2021-22,projected,6746.44,3
Farm Harvest,Biri,OD12,2022-23,projected,7105.71,3
Farm Harvest,Biri,OD12,2023-24,projected,7484.11,3
Farm Harvest,Biri,OD12,2024-25,projected,7882.66,3
Farm Harvest,Biri,OD13,2013-14,published,4171.0,3
Farm Harvest,Biri,OD13,2014-15,published,4751.0,3
Farm Harvest,Biri,OD13,2015-16,published,5443.0,3
Farm Harvest,Biri,OD13,2016-17,published,5568.0,3
Farm Harvest,Biri,OD13,2017-18,published,5625.0,3
Farm Harvest,Biri,OD13,2018-19,published,4700.0,3
Farm Harvest,Biri,OD13,2019-20,projected,4950.29,3
Farm Harvest,Biri,OD13,2020-21,projected,5213.91,3
Farm Harvest,Biri,OD13,2021-22,projected,5491.56,3
Farm Harvest,Biri,OD13,2022-23,projected,5784.0,3
Farm Harvest,Biri,OD13,2023-24,projected,6092.02,3
Farm Harvest,Biri,OD13,2024-25,projected,6416.43,3
Farm Harvest,Biri,OD14,2013-14,published,4433.0,3
Farm Harvest,Biri,OD14,2014-15,published,5300.0,3
Farm Harvest,Biri,OD14,2015-16,published,5750.0,3
Farm Harvest,Biri,OD14,2016-17,imputed,6152.77,3
Farm Harvest,Biri,OD14,2017-18,published,6194.0,3
Farm Harvest,Biri,OD14,2018-19,published,5761.0,3
Farm Harvest,Biri,OD14,2019-20,projected,6067.79,3
Farm Harvest,Biri,OD14,2020-21,projected,6390.92,3
Farm Harvest,Biri,OD14,2021-22,projected,6731.25,3
Farm Harvest,Biri,OD14,2022-23,projected,7089.71,3
Farm Harvest,Biri,OD14,2023-24,projected,7467.26,3
Farm Harvest,Biri,OD14,2024-25,projected,7864.91,3
Farm Harvest,Biri,OD15,2013-14,published,4437.0,3
Farm Harvest,Biri,OD15,2014-15,published,5068.0,3
Farm Harvest,Biri,OD15,2015-16,published,5550.0,3
Farm Harvest,Biri,OD15,2016-17,published,5989.0,3
Farm Harvest,Biri,OD15,2017-18,published,6238.0,3
Farm Harvest,Biri,OD15,2018-19,published,6836.0,3
Farm Harvest,Biri,OD15,2019-20,projected,7200.04,3
Farm Harvest,Biri,OD15,2020-21,projected,7583.46,3
Farm Harvest,Biri,OD15,2021-22,projected,7987.3,3
Farm Harvest,Biri,OD15,2022-23,projected,8412.65,3
Farm Harvest,Biri,OD15,2023-24,projected,8860.64,3
Farm Harvest,Biri,OD15,2024-25,projected,9332.5,3
Farm Harvest,Biri,OD16,2013-14,published,4633.0,3
Farm Harvest,Biri,OD16,2014-15,published,5074.0,3
Farm Harvest,Biri,OD16,2015-16,published,5467.0,3
Farm Harvest,Biri,OD16,2016-17,published,6000.0,3
Farm Harvest,Biri,OD16,2017-18,published,6629.0,3
Farm Harvest,Biri,OD16,2018-19,published,6800.0,3
Farm Harvest,Biri,OD16,2019-20,projected,7162.12,3
Farm Harvest,Biri,OD16,2020-21,projected,7543.52,3
Farm Harvest,Biri,OD16,2021-22,projected,7945.24,3
Farm Harvest,Biri,OD16,2022-23,projected,8368.34,3
Farm Harvest,Biri,OD16,2023-24,projected,8813.98,3
Farm Harvest,Biri,OD16,2024-25,projected,9283.35,3
Farm Harvest,Biri,OD17,2013-14,published,3828.0,3
Farm Harvest,Biri,OD17,2014-15,published,4446.0,3
Farm Harvest,Biri,OD17,2015-16,published,5075.0,3
Farm Harvest,Biri,OD17,2016-17,published,5983.0,3
Farm Harvest,Biri,OD17,2017-18,published,6460.0,3
Farm Harvest,Biri,OD17,2018-19,published,5470.0,3
Farm Harvest,Biri,OD17,2019-20,projected,5761.29,3
Farm Harvest,Biri,OD17,2020-21,projected,6068.1,3
Farm Harvest,Biri,OD17,2021-22,projected,6391.24,3
Farm Harvest,Biri,OD17,2022-23,projected,6731.59,3
Farm Harvest,Biri,OD17,2023-24,projected,7090.07,3
Farm Harvest,Biri,OD17,2024-25,projected,7467.64,3
Farm Harvest,Biri,OD18,2013-14,published,4500.0,3
Farm Harvest,Biri,OD18,2014-15,published,5163.0,3
Farm Harvest,Biri,OD18,2015-16,published,5578.0,3
Farm Harvest,Biri,OD18,2016-17,published,5975.0,3
Farm Harvest,Biri,OD18,2017-18,published,5374.0,3
Farm Harvest,Biri,OD18,2018-19,published,5170.0,3
Farm Harvest,Biri,OD18,2019-20,projected,5445.32,3
Farm Harvest,Biri,OD18,2020-21,projected,5735.3,3
Farm Harvest,Biri,OD18,2021-22,projected,6040.72,3
Farm Harvest,Biri,OD18,2022-23,projected,6362.4,3
Farm Harvest,Biri,OD18,2023-24,projected,6701.22,3
Farm Harvest,Biri,OD18,2024-25,projected,7058.08,3
Farm Harvest,Biri,OD19,2013-14,published,4179.0,3
Farm Harvest,Biri,OD19,2014-15,published,4721.0,3
Farm Harvest,Biri,OD19,2015-16,published,5400.0,3
Farm Harvest,Biri,OD19,2016-17,published,5900.0,3
Farm Harvest,Biri,OD19,2017-18,published,5282.0,3
Farm Harvest,Biri,OD19,2018-19,published,4980.0,3
Farm Harvest,Biri,OD19,2019-20,projected,5245.2,3
Farm Harvest,Biri,OD19,2020-21,projected,5524.52,3
Farm Harvest,Biri,OD19,2021-22,projected,5818.72,3
Farm Harvest,Biri,OD19,2022-23,projected,6128.58,3
Farm Harvest,Biri,OD19,2023-24,projected,6454.95,3
Farm Harvest,Biri,OD19,2024-25,projected,6798.69,3
Farm Harvest,Biri,OD20,2013-14,published,4396.0,3
Farm Harvest,Biri,OD20,2014-15,published,5186.0,3
Farm Harvest,Biri,OD20,2015-16,published,5475.0,3
Farm Harvest,Biri,OD20,2016-17,published,5800.0,3
Farm Harvest,Biri,OD20,2017-18,published,5035.0,3
Farm Harvest,Biri,OD20,2018-19,published,5817.0,3
Farm Harvest,Biri,OD20,2019-20,projected,6126.77,3
Farm Harvest,Biri,OD20,2020-21,projected,6453.04,3
Farm Harvest,Biri,OD20,2021-22,projected,6796.68,3
Farm Harvest,Biri,OD20,2022-23,projected,7158.63,3
Farm Harvest,Biri,OD20,2023-24,projected,7539.84,3
Farm Harvest,Biri,OD20,2024-25,projected,7941.36,3
Farm Harvest,Biri,OD21,2013-14,published,4250.0,3
Farm Harvest,Biri,OD21,2014-15,published,4874.0,3
Farm Harvest,Biri,OD21,2015-16,published,5250.0,3
Farm Harvest,Biri,OD21,2016-17,published,5700.0,3
Farm Harvest,Biri,OD21,2017-18,published,5607.0,3
Farm Harvest,Biri,OD21,2018-19,published,6296.0,3
Farm Harvest,Biri,OD21,2019-20,projected,6631.28,3
Farm Harvest,Biri,OD21,2020-21,projected,6984.41,3
Farm Harvest,Biri,OD21,2021-22,projected,7356.35,3
Farm Harvest,Biri,OD21,2022-23,projected,7748.1,3
Farm Harvest,Biri,OD21,2023-24,projected,8160.71,3
Farm Harvest,Biri,OD21,2024-25,projected,8595.29,3
Farm Harvest,Biri,OD22,2013-14,published,4427.0,3
Farm Harvest,Biri,OD22,2014-15,published,5269.0,3
Farm Harvest,Biri,OD22,2015-16,published,5560.0,3
Farm Harvest,Biri,OD22,2016-17,published,5876.0,3
Farm Harvest,Biri,OD22,2017-18,published,5590.0,3
Farm Harvest,Biri,OD22,2018-19,published,4856.0,3
Farm Harvest,Biri,OD22,2019-20,projected,5114.6,3
Farm Harvest,Biri,OD22,2020-21,projected,5386.96,3
Farm Harvest,Biri,OD22,2021-22,projected,5673.83,3
Farm Harvest,Biri,OD22,2022-23,projected,5975.98,3
Farm Harvest,Biri,OD22,2023-24,projected,6294.22,3
Farm Harvest,Biri,OD22,2024-25,projected,6629.41,3
Farm Harvest,Biri,OD23,2013-14,published,4473.0,3
Farm Harvest,Biri,OD23,2014-15,published,5136.0,3
Farm Harvest,Biri,OD23,2015-16,published,5533.0,3
Farm Harvest,Biri,OD23,2016-17,published,5800.0,3
Farm Harvest,Biri,OD23,2017-18,published,5083.0,3
Farm Harvest,Biri,OD23,2018-19,published,5067.0,3
Farm Harvest,Biri,OD23,2019-20,projected,5336.83,3
Farm Harvest,Biri,OD23,2020-21,projected,5621.03,3
Farm Harvest,Biri,OD23,2021-22,projected,5920.37,3
Farm Harvest,Biri,OD23,2022-23,projected,6235.65,3
Farm Harvest,Biri,OD23,2023-24,projected,6567.71,3
Farm Harvest,Biri,OD23,2024-25,projected,6917.46,3
Farm Harvest,Biri,OD24,2013-14,published,3950.0,3
Farm Harvest,Biri,OD24,2014-15,published,4793.0,3
Farm Harvest,Biri,OD24,2015-16,published,5275.0,3
Farm Harvest,Biri,OD24,2016-17,published,5700.0,3
Farm Harvest,Biri,OD24,2017-18,published,5558.0,3
Farm Harvest,Biri,OD24,2018-19,published,5631.0,3
Farm Harvest,Biri,OD24,2019-20,projected,5930.87,3
Farm Harvest,Biri,OD24,2020-21,projected,6246.7,3
Farm Harvest,Biri,OD24,2021-22,projected,6579.36,3
Farm Harvest,Biri,OD24,2022-23,projected,6929.73,3
Farm Harvest,Biri,OD24,2023-24,projected,7298.75,3
Farm Harvest,Biri,OD24,2024-25,projected,7687.43,3
Farm Harvest,Biri,OD25,2013-14,published,4000.0,3
Farm Harvest,Biri,OD25,2014-15,published,4821.0,3
Farm Harvest,Biri,OD25,2015-16,published,5375.0,3
Farm Harvest,Biri,OD25,2016-17,published,5600.0,3
Farm Harvest,Biri,OD25,2017-18,published,5549.0,3
Farm Harvest,Biri,OD25,2018-19,published,5700.0,3
Farm Harvest,Biri,OD25,2019-20,projected,6003.54,3
Farm Harvest,Biri,OD25,2020-21,projected,6323.25,3
Farm Harvest,Biri,OD25,2021-22,projected,6659.98,3
Farm Harvest,Biri,OD25,2022-23,projected,7014.64,3
Farm Harvest,Biri,OD25,2023-24,projected,7388.19,3
Farm Harvest,Biri,OD25,2024-25,projected,7781.63,3
Farm Harvest,Biri,OD26,2013-14,published,3913.0,3
Farm Harvest,Biri,OD26,2014-15,published,4800.0,3
Farm Harvest,Biri,OD26,2015-16,published,5500.0,3
Farm Harvest,Biri,OD26,2016-17,published,5900.0,3
Farm Harvest,Biri,OD26,2017-18,published,5990.0,3
Farm Harvest,Biri,OD26,2018-19,published,5125.0,3
Farm Harvest,Biri,OD26,2019-20,projected,5397.92,3
Farm Harvest,Biri,OD26,2020-21,projected,5685.38,3
Farm Harvest,Biri,OD26,2021-22,projected,5988.14,3
Farm Harvest,Biri,OD26,2022-23,projected,6307.02,3
Farm Harvest,Biri,OD26,2023-24,projected,6642.89,3
Farm Harvest,Biri,OD26,2024-25,projected,6996.64,3
Farm Harvest,Biri,OD27,2013-14,published,4079.0,3
Farm Harvest,Biri,OD27,2014-15,published,4954.0,3
Farm Harvest,Biri,OD27,2015-16,published,5364.0,3
Farm Harvest,Biri,OD27,2016-17,published,5859.0,3
Farm Harvest,Biri,OD27,2017-18,published,5386.0,3
Farm Harvest,Biri,OD27,2018-19,published,5428.0,3
Farm Harvest,Biri,OD27,2019-20,projected,5717.06,3
Farm Harvest,Biri,OD27,2020-21,projected,6021.51,3
Farm Harvest,Biri,OD27,2021-22,projected,6342.17,3
Farm Harvest,Biri,OD27,2022-23,projected,6679.91,3
Farm Harvest,Biri,OD27,2023-24,projected,7035.63,3
Farm Harvest,Biri,OD27,2024-25,projected,7410.3,3
Farm Harvest,Biri,OD28,2013-14,published,4486.0,3
Farm Harvest,Biri,OD28,2014-15,published,5162.0,3
Farm Harvest,Biri,OD28,2015-16,published,5486.0,3
Farm Harvest,Biri,OD28,2016-17,published,5871.0,3
Farm Harvest,Biri,OD28,2017-18,published,5214.0,3
Farm Harvest,Biri,OD28,2018-19,published,5841.0,3
Farm Harvest,Biri,OD28,2019-20,projected,6152.05,3
Farm Harvest,Biri,OD28,2020-21,projected,6479.66,3
Farm Harvest,Biri,OD28,2021-22,projected,6824.72,3
Farm Harvest,Biri,OD28,2022-23,projected,7188.16,3
Farm Harvest,Biri,OD28,2023-24,projected,7570.95,3
Farm Harvest,Biri,OD28,2024-25,projected,7974.13,3
Farm Harvest,Biri,OD29,2013-14,published,4623.0,3
Farm Harvest,Biri,OD29,2014-15,published,5357.0,3
Farm Harvest,Biri,OD29,2015-16,published,5675.0,3
Farm Harvest,Biri,OD29,2016-17,published,6000.0,3
Farm Harvest,Biri,OD29,2017-18,published,6000.0,3
Farm Harvest,Biri,OD29,2018-19,published,5783.0,3
Farm Harvest,Biri,OD29,2019-20,projected,6090.96,3
Farm Harvest,Biri,OD29,2020-21,projected,6415.32,3
Farm Harvest,Biri,OD29,2021-22,projected,6756.96,3
Farm Harvest,Biri,OD29,2022-23,projected,7116.78,3
Farm Harvest,Biri,OD29,2023-24,projected,7495.77,3
Farm Harvest,Biri,OD29,2024-25,projected,7894.94,3
Farm Harvest,Biri,OD30,2013-14,published,4425.0,3
Farm Harvest,Biri,OD30,2014-15,published,5239.0,3
Farm Harvest,Biri,OD30,2015-16,published,5608.0,3
Farm Harvest,Biri,OD30,2016-17,published,6000.0,3
Farm Harvest,Biri,OD30,2017-18,published,6289.0,3
Farm Harvest,Biri,OD30,2018-19,published,6794.0,3
Farm Harvest,Biri,OD30,2019-20,projected,7155.8,3
Farm Harvest,Biri,OD30,2020-21,projected,7536.87,3
Farm Harvest,Biri,OD30,2021-22,projected,7938.23,3
Farm Harvest,Biri,OD30,2022-23,projected,8360.96,3
Farm Harvest,Biri,OD30,2023-24,projected,8806.2,3
Farm Harvest,Biri,OD30,2024-25,projected,9275.16,3
Farm Harvest,Groundnut,OD01,2013-14,published,3214.0,3
Farm Harvest,Groundnut,OD01,2014-15,published,3517.0,3
Farm Harvest,Groundnut,OD01,2015-16,published,4027.0,3
Farm Harvest,Groundnut,OD01,2016-17,published,4143.0,3
Farm Harvest,Groundnut,OD01,2017-18,published,4154.0,3
Farm Harvest,Groundnut,OD01,2018-19,published,4961.0,3
Farm Harvest,Groundnut,OD01,2019-20,projected,5383.53,3
Farm Harvest,Groundnut,OD01,2020-21,projected,5842.04,3
Farm Harvest,Groundnut,OD01,2021-22,projected,6339.6,3
Farm Harvest,Groundnut,OD01,2022-23,projected,6879.55,3
Farm Harvest,Groundnut,OD01,2023-24,projected,7465.48,3
Farm Harvest,Groundnut,OD01,2024-25,projected,8101.31,3
Farm Harvest,Groundnut,OD02,2013-14,published,2529.0,3
Farm Harvest,Groundnut,OD02,2014-15,published,2826.0,3
Farm Harvest,Groundnut,OD02,2015-16,published,3200.0,3
Farm Harvest,Groundnut,OD02,2016-17,published,3245.0,3
Farm Harvest,Groundnut,OD02,2017-18,published,3793.0,3
Farm Harvest,Groundnut,OD02,2018-19,published,4650.0,3
Farm Harvest,Groundnut,OD02,2019-20,projected,5046.04,3
Farm Harvest,Groundnut,OD02,2020-21,projected,5475.81,3
Farm Harvest,Groundnut,OD02,2021-22,projected,5942.18,3
Farm Harvest,Groundnut,OD02,2022-23,projected,6448.28,3
Farm Harvest,Groundnut,OD02,2023-24,projected,6997.47,3
Farm Harvest,Groundnut,OD02,2024-25,projected,7593.45,3
Farm Harvest,Groundnut,OD03,2013-14,published,3500.0,3
Farm Harvest,Groundnut,OD03,2014-15,published,3823.0,3
Farm Harvest,Groundnut,OD03,2015-16,published,4063.0,3
Farm Harvest,Groundnut,OD03,2016-17,published,4471.0,3
Farm Harvest,Groundnut,OD03,2017-18,published,4650.0,3
Farm Harvest,Groundnut,OD03,2018-19,published,5688.0,3
Farm Harvest,Groundnut,OD03,2019-20,projected,6172.45,3
Farm Harvest,Groundnut,OD03,2020-21,projected,6698.15,3
Farm Harvest,Groundnut,OD03,2021-22,projected,7268.63,3
Farm Harvest,Groundnut,OD03,2022-23,projected,7887.7,3
Farm Harvest,Groundnut,OD03,2023-24,projected,8559.49,3
Farm Harvest,Groundnut,OD03,2024-25,projected,9288.5,3
Farm Harvest,Groundnut,OD04,2013-14,published,2554.0,3
Farm Harvest,Groundnut,OD04,2014-15,published,2916.0,3
Farm Harvest,Groundnut,OD04,2015-16,published,3325.0,3
Farm Harvest,Groundnut,OD04,2016-17,published,3700.0,3
Farm Harvest,Groundnut,OD04,2017-18,published,4271.0,3
Farm Harvest,Groundnut,OD04,2018-19,published,3883.0,3
Farm Harvest,Groundnut,OD04,2019-20,projected,4213.71,3
Farm Harvest,Groundnut,OD04,2020-21,projected,4572.59,3
Farm Harvest,Groundnut,OD04,2021-22,projected,4962.04,3
Farm Harvest,Groundnut,OD04,2022-23,projected,5384.66,3
Farm Harvest,Groundnut,OD04,2023-24,projected,5843.27,3
Farm Harvest,Groundnut,OD04,2024-25,projected,6340.94,3
Farm Harvest,Groundnut,OD05,2013-14,imputed,3270.47,3
Farm Harvest,Groundnut,OD05,2014-15,published,3850.0,3
Farm Harvest,Groundnut,OD05,2015-16,published,4100.0,3
Farm Harvest,Groundnut,OD05,2016-17,published,4200.0,3
Farm Harvest,Groundnut,OD05,2017-18,published,4625.0,3
Farm Harvest,Groundnut,OD05,2018-19,published,4425.0,3
Farm Harvest,Groundnut,OD05,2019-20,projected,4801.88,3
Farm Harvest,Groundnut,OD05,2020-21,projected,5210.85,3
Farm Harvest,Groundnut,OD05,2021-22,projected,5654.66,3
Farm Harvest,Groundnut,OD05,2022-23,projected,6136.26,3
Farm Harvest,Groundnut,OD05,2023-24,projected,6658.89,3
Farm Harvest,Groundnut,OD05,2024-25,projected,7226.02,3
Farm Harvest,Groundnut,OD06,2013-14,published,3142.0,3
Farm Harvest,Groundnut,OD06,2014-15,published,3518.0,3
Farm Harvest,Groundnut,OD06,2015-16,published,4000.0,3
Farm Harvest,Groundnut,OD06,2016-17,published,4250.0,3
Farm Harvest,Groundnut,OD06,2017-18,published,3833.0,3
Farm Harvest,Groundnut,OD06,2018-19,published,6524.0,3
Farm Harvest,Groundnut,OD06,2019-20,projected,7079.65,3
Farm Harvest,Groundnut,OD06,2020-21,projected,7682.62,3
Farm Harvest,Groundnut,OD06,2021-22,projected,8336.94,3
Farm Harvest,Groundnut,OD06,2022-23,projected,9047.0,3
Farm Harvest,Groundnut,OD06,2023-24,projected,9817.53,3
Farm Harvest,Groundnut,OD06,2024-25,projected,10653.69,3
Farm Harvest,Groundnut,OD07,2013-14,published,3134.0,3
Farm Harvest,Groundnut,OD07,2014-15,published,3427.0,3
Farm Harvest,Groundnut,OD07,2015-16,published,3900.0,3
Farm Harvest,Groundnut,OD07,2016-17,published,4150.0,3
Farm Harvest,Groundnut,OD07,2017-18,published,4150.0,3
Farm Harvest,Groundnut,OD07,2018-19,published,4500.0,3
Farm Harvest,Groundnut,OD07,2019-20,projected,4883.26,3
Farm Harvest,Groundnut,OD07,2020-21,projected,5299.17,3
Farm Harvest,Groundnut,OD07,2021-22,projected,5750.5,3
Farm Harvest,Groundnut,OD07,2022-23,projected,6240.27,3
Farm Harvest,Groundnut,OD07,2023-24,projected,6771.75,3
Farm Harvest,Groundnut,OD07,2024-25,projected,7348.5,3
Farm Harvest,Groundnut,OD08,2013-14,imputed,3849.74,3
Farm Harvest,Groundnut,OD08,2014-15,imputed,4349.63,3
Farm Harvest,Groundnut,OD08,2015-16,imputed,4820.99,3
Farm Harvest,Groundnut,OD08,2016-17,imputed,5062.25,3
Farm Harvest,Groundnut,OD08,2017-18,published,4525.0,3
Farm Harvest,Groundnut,OD08,2018-19,published,6380.0,3
