Year,District,Season ,Crop_Paddy_Rice,Area_000ha,Yield_rate_qtl_ha,Production_000MT
2023-24,Kendrapada,Winter,Paddy,120.67,36.65,442.29
2023-24,Kendrapada,Winter,Rice,120.67,24.19,291.91
2023-24,Kendrapada,Summer,Paddy,0.86,52.82,4.57
2023-24,Kendrapada,Summer,Rice,0.86,34.86,3.02
2023-24,Keonjhar,Autumn,Paddy,10.8,37.38,40.37
2023-24,Keonjhar,Autumn,Rice,10.8,24.67,26.64
2023-24,Keonjhar,Winter,Paddy,144.4,49.81,719.32
2023-24,Keonjhar,Winter,Rice,144.4,32.88,474.76
2023-24,Keonjhar,Summer,Paddy,0.81,48.98,3.95
2023-24,Keonjhar,Summer,Rice,0.81,32.33,2.61
2023-24,Khurda,Autumn,Paddy,0.01,22.78,0.02
2023-24,Khurda,Autumn,Rice,0.01,15,0.01
2023-24,Khurda,Winter,Paddy,86.34,35.83,309.36
2023-24,Khurda,Winter,Rice,86.34,23.65,204.18
2023-24,Khurda,Summer,Paddy,5.27,49.59,26.13
2023-24,Khurda,Summer,Rice,5.27,32.73,17.24
2023-24,Koraput,Autumn,Paddy,3.58,36.92,13.2
2023-24,Koraput,Autumn,Rice,3.58,24.37,8.72
2023-24,Koraput,Winter,Paddy,98.38,48.83,480.38
2023-24,Koraput,Winter,Rice,98.38,32.23,317.05
2023-24,Koraput,Summer,Paddy,29.16,48.3,140.86
2023-24,Koraput,Summer,Rice,29.16,31.88,92.97
2023-24,Malkangiri,Autumn,Paddy,12.5,27.6,34.51
2023-24,Malkangiri,Autumn,Rice,12.5,18.22,22.78
2023-24,Malkangiri,Winter,Paddy,106.36,36.23,385.36
2023-24,Malkangiri,Winter,Rice,106.36,23.91,254.33
2023-24,Malkangiri,Summer,Paddy,1.29,34.56,4.47
2023-24,Malkangiri,Summer,Rice,1.29,22.81,2.95
2023-24,Mayurbhanja,Autumn,Paddy,2.81,25.61,7.21
2023-24,Mayurbhanja,Autumn,Rice,2.81,16.9,4.76
2023-24,Mayurbhanja,Winter,Paddy,294.5,38.28,1127.46
2023-24,Mayurbhanja,Winter,Rice,294.5,25.27,744.13
2023-24,Mayurbhanja,Summer,Paddy,3.8,41.49,15.76
2023-24,Mayurbhanja,Summer,Rice,3.8,27.39,10.4
2023-24,Nuapada,Autumn,Paddy,38.86,23.94,93.03
2023-24,Nuapada,Autumn,Rice,38.86,15.8,61.39
2023-24,Nuapada,Winter,Paddy,66.22,40.35,267.14
2023-24,Nuapada,Winter,Rice,66.22,26.63,176.32
2023-24,Nuapada,Summer,Paddy,10.05,45.62,45.85
2023-24,Nuapada,Summer,Rice,10.05,30.11,30.26
2023-24,Nayagada,Autumn,Paddy,0.05,26.78,0.13
2023-24,Nayagada,Autumn,Rice,0.05,17.67,0.08
2023-24,Nayagada,Winter,Paddy,88.85,36.15,321.2
2023-24,Nayagada,Winter,Rice,88.85,23.86,211.99
2023-24,Nayagada,Summer,Paddy,0.01,28.13,0.04
2023-24,Nayagada,Summer,Rice,0.01,18.6,0.03
2023-24,Nawrangpur,Autumn,Paddy,9.92,34,33.74
2023-24,Nawrangpur,Autumn,Rice,9.92,22.44,22.27
2023-24,Nawrangpur,Winter,Paddy,115.82,44.27,512.73
2023-24,Nawrangpur,Winter,Rice,115.82,29.22,338.4
2023-24,Nawrangpur,Summer,Paddy,1.21,38.35,4.64
2023-24,Nawrangpur,Summer,Rice,1.21,25.31,3.06
2023-24,Puri,Autumn,Paddy,,,
2023-24,Puri,Autumn,Rice,,,
2023-24,Puri,Winter,Paddy,84.74,44.42,376.43
2023-24,Puri,Winter,Rice,84.74,29.32,248.45
2023-24,Puri,Summer,Paddy,35.42,52.88,187.28
2023-24,Puri,Summer,Rice,35.42,34.9,123.61
2023-24,Raygada,Autumn,Paddy,0.1,12.13,0.12
2023-24,Raygada,Autumn,Rice,0.1,8,0.08
2023-24,Raygada,Winter,Paddy,54.41,45.79,249.13
2023-24,Raygada,Winter,Rice,54.41,30.22,164.42
2023-24,Raygada,Summer,Paddy,0.35,34.64,1.22
2023-24,Raygada,Summer,Rice,0.35,22.86,0.8
2023-24,Sambalpur,Autumn,Paddy,31.32,36.47,114.24
2023-24,Sambalpur,Autumn,Rice,31.32,24.07,75.4
2023-24,Sambalpur,Winter,Paddy,77.93,53.88,419.84
2023-24,Sambalpur,Winter,Rice,77.93,35.56,277.09
2023-24,Sambalpur,Summer,Paddy,13.42,60.56,81.28
2023-24,Sambalpur,Summer,Rice,13.42,39.97,53.64
2023-24,Sonepur,Autumn,Paddy,7.02,40.4,28.37
2023-24,Sonepur,Autumn,Rice,7.02,26.67,18.72
2023-24,Sonepur,Winter,Paddy,97.57,53.94,526.27
2023-24,Sonepur,Winter,Rice,97.57,35.6,347.34
2023-24,Sonepur,Summer,Paddy,40.96,55.65,227.94
2023-24,Sonepur,Summer,Rice,40.96,36.73,150.44
2023-24,Sundargarh,Autumn,Paddy,65.83,27.78,182.92
2023-24,Sundargarh,Autumn,Rice,65.83,18.34,120.73
2023-24,Sundargarh,Winter,Paddy,114.64,34.63,396.96
2023-24,Sundargarh,Winter,Rice,114.64,22.85,261.99
2023-24,Sundargarh,Summer,Paddy,1.78,32.37,5.75
2023-24,Sundargarh,Summer,Rice,1.78,21.36,3.79
